iter	Passed	Remaining
177	29129	52694
178	29299	52542
179	29461	52376
180	29632	52224
181	29807	52081
182	29969	51913
183	30149	51777
184	30324	51633
185	30496	51483
186	30670	51336
187	30864	51221
188	31032	51064
189	31180	50873
190	31358	50731
191	31527	50576
192	31712	50443
193	31890	50301
194	32070	50161
195	32250	50020
196	32424	49871
197	32599	49723
198	32760	49552
199	32930	49396
200	33101	49240
201	33268	49079
202	33437	48921
203	33623	48786
204	33782	48613
205	33954	48459
206	34134	48315
207	34325	48188
208	34503	48040
209	34655	47857
210	34821	47693
211	34977	47517
212	35162	47379
213	35325	47210
214	35503	47063
215	35667	46895
216	35826	46723
217	35976	46538
218	36137	46367
219	36289	46186
220	36476	46049
221	36639	45882
222	36801	45713
223	36978	45562
224	37136	45389
225	37305	45228
226	37471	45064
227	37633	44895
228	37795	44727
229	37963	44566
230	38134	44408
231	38308	44252
232	38466	44079
233	38646	43931
234	38816	43771
235	38974	43598
236	39145	43440
237	39301	43264
238	39472	43105
239	39633	42936
240	39802	42774
241	39965	42607
242	40152	42465
243	40331	42315
244	40508	42161
245	40686	42010
246	40873	41866
247	41038	41700
248	41189	41520
249	41360	41360
250	41543	41212
251	41714	41052
252	41888	40895
253	42059	40734
254	42235	40579
255	42408	40420
256	42560	40242
257	42727	40077
258	42894	39913
259	43066	39753
260	43248	39603
261	43394	39419
262	43530	39226
263	43711	39075
264	43877	38910
265	44050	38751
266	44209	38579
267	44345	38388
268	44509	38222
269	44695	38074
270	44846	37896
271	45015	37733
272	45185	37572
273	45357	37411
274	45533	37254
275	45691	37082
276	45868	36926
277	46057	36779
278	46238	36626
279	46379	36441
280	46554	36282
281	46740	36132
282	46912	35971
283	47085	35811
284	47241	35637
285	47439	35496
286	47613	35336
287	47773	35166
288	47949	35008
289	48122	34846
290	48290	34682
291	48446	34509
292	48612	34343
293	48788	34185
294	48974	34033
295	49134	33863
296	49321	33711
297	49501	33554
298	49702	33412
299	49881	33254
300	50064	33099
301	50241	32939
302	50421	32782
303	50597	32621
304	50771	32460
305	50917	32281
306	51079	32111
307	51243	31944
308	51409	31777
309	51582	31615
310	51751	31450
311	51933	31293
312	52101	31127
313	52275	30965
314	52454	30806
315	52617	30637
316	52788	30473
317	52961	30311
318	53122	30141
319	53247	29951
320	53412	29784
321	53584	29621
322	53761	29460
323	53923	29292
324	54129	29146
325	54295	28979
326	54477	28821
327	54659	28662
328	54835	28500
329	55003	28335
330	55149	28157
331	55288	27977
332	55413	27790
333	55547	27607
334	55683	27426
335	55819	27245
336	55965	27069
337	56097	26887
338	56248	26714
339	56385	26534
340	56512	26350
341	56635	26164
342	56770	25985
343	56914	25810
344	57055	25633
345	57186	25452
346	57324	25275
347	57463	25098
348	57604	24923
349	57741	24746
350	57882	24571
351	58019	24394
352	58153	24217
353	58286	24039
354	58424	23863
355	58562	23688
356	58703	23514
357	58849	23342
358	58987	23167
359	59130	22995
360	59265	22819
361	59399	22644
362	59542	22472
363	59682	22298
364	59830	22129
365	59970	21956
366	60105	21782
367	60240	21607
368	60378	21435
369	60525	21265
370	60660	21092
371	60796	20919
372	60945	20751
373	61083	20578
374	61220	20406
375	61350	20232
376	61483	20059
377	61617	19887
378	61754	19715
379	61912	19551
380	62050	19380
381	62205	19215
382	62348	19046
383	62480	18874
384	62617	18703
385	62776	18540
386	62917	18371
387	63070	18205
388	63215	18038
389	63367	17872
390	63520	17707
391	63666	17540
392	63811	17373
393	63959	17207
394	64112	17042
395	64277	16880
396	64453	16722
397	64620	16561
398	64787	16399
399	64977	16244
400	65157	16086
401	65321	15924
402	65492	15763
403	65665	15603
404	65815	15438
405	65990	15278
406	66162	15118
407	66351	14961
408	66521	14800
409	66701	14641
410	66865	14479
411	67050	14321
412	67223	14160
413	67393	13999
414	67556	13836
415	67707	13671
416	67881	13511
417	68049	13349
418	68183	13181
419	68356	13020
420	68525	12858
421	68696	12697
422	68864	12535
423	69037	12374
424	69210	12213
425	69413	12057
426	69584	11896
427	69753	11734
428	69907	11569
429	70086	11409
430	70273	11250
431	70428	11085
432	70594	10923
433	70754	10759
434	70925	10598
435	71104	10437
436	71275	10275
437	71461	10115
438	71635	9953
439	71816	9793
440	71992	9631
441	72167	9469
442	72340	9307
443	72508	9145
444	72681	8983
445	72846	8820
446	73011	8656
447	73187	8495
448	73352	8331
449	73534	8170
450	73712	8008
451	73887	7846
452	74030	7680
453	74204	7518
454	74382	7356
455	74543	7192
456	74719	7030
457	74906	6869
458	75065	6705
459	75226	6541
460	75402	6378
461	75569	6215
462	75748	6053
463	75950	5892
464	76141	5731
465	76296	5566
466	76455	5402
467	76643	5240
468	76792	5075
469	76959	4912
470	77137	4749
471	77299	4585
472	77492	4423
473	77667	4260
474	77851	4097
475	78034	3934
476	78213	3771
477	78372	3607
478	78549	3443
479	78718	3279
480	78888	3116
481	79042	2951
482	79226	2788
483	79391	2624
484	79570	2460
485	79761	2297
486	79939	2133
487	80113	1970
488	80295	1806
489	80472	1642
490	80601	1477
491	80774	1313
492	80945	1149
493	81120	985
494	81294	821
495	81451	656
496	81613	492
497	81789	328
498	81954	164
499	82118	0
