iter	Logloss
218	0.521459192
219	0.5214382751
220	0.5213707531
221	0.5213388938
222	0.5212587507
223	0.5212298394
224	0.5212045951
225	0.5211703674
226	0.5211325899
227	0.5211268763
228	0.5210876138
229	0.5210376337
230	0.5209690249
231	0.5209125599
232	0.5208813806
233	0.5208161944
234	0.5208113096
235	0.5207596326
236	0.5207073647
237	0.5206828189
238	0.5206355428
239	0.5205762918
240	0.5205337725
241	0.5205000139
242	0.5204590518
243	0.520425114
244	0.5203949069
245	0.5203458685
246	0.5203122427
247	0.5202707479
248	0.5202291908
249	0.5201928708
250	0.5201574567
251	0.520115433
252	0.5200701027
253	0.5200387957
254	0.5200162116
255	0.5199598719
256	0.519936094
257	0.5199065295
258	0.5198697031
259	0.5198275879
260	0.5197984465
261	0.5197645479
262	0.5197493496
263	0.519724548
264	0.5197085061
265	0.5196631745
266	0.519652299
267	0.519648311
268	0.5196355735
269	0.5196060099
270	0.5195798592
271	0.5195373374
272	0.5195060447
273	0.5194713385
274	0.5194479363
275	0.5194199423
276	0.5193992825
277	0.5193775969
278	0.5193529473
279	0.5193454263
280	0.5193103494
281	0.5192982662
282	0.5192656997
283	0.5192395011
284	0.5192202153
285	0.5192011733
286	0.5191645617
287	0.5191358932
288	0.519105664
289	0.5190782638
290	0.5190564718
291	0.5190293559
292	0.5189959486
293	0.5189465146
294	0.5189184821
295	0.5188773623
296	0.5188536087
297	0.5188248271
298	0.5188038629
299	0.5187514384
300	0.5187503633
301	0.5187108019
302	0.5186940649
303	0.5186820311
304	0.5186477745
305	0.5186348004
306	0.5186073279
307	0.5185546941
308	0.5184944684
309	0.518423867
310	0.5183888834
311	0.5183653173
312	0.5183142928
313	0.5182992697
314	0.5182575583
315	0.5182427024
316	0.5182219508
317	0.5181967907
318	0.51818669
319	0.5181856117
320	0.5181644149
321	0.5181555172
322	0.5181239931
323	0.5180852019
324	0.5180476458
325	0.5180209392
326	0.5179903248
327	0.5179483785
328	0.5179194573
329	0.5179001666
330	0.5178720627
331	0.5178574485
332	0.5178334077
333	0.517787262
334	0.5177765144
335	0.5177409921
336	0.5177239906
337	0.5177107363
338	0.5176771652
339	0.5176480791
340	0.5176316031
341	0.5176224088
342	0.5175966547
343	0.5175717887
344	0.5175369981
345	0.5174862698
346	0.5174459349
347	0.5174201438
348	0.5173954582
349	0.5173728379
350	0.5173354654
351	0.5173121199
352	0.5172891002
353	0.5172586961
354	0.517243082
355	0.5172289993
356	0.5172104625
357	0.517191489
358	0.5171546023
359	0.5171432778
360	0.517100545
361	0.5170707784
362	0.5170172252
363	0.5170020664
364	0.516979978
365	0.5169539833
366	0.5169157406
367	0.5168945641
368	0.5168406523
369	0.5168188313
370	0.5167991526
371	0.5167933629
372	0.5167763177
373	0.5167542698
374	0.516708403
375	0.5166873887
376	0.5166700145
377	0.5166584252
378	0.5166385749
379	0.5166269125
380	0.5165755125
381	0.5165595697
382	0.5165411351
383	0.5165345717
384	0.5164893296
385	0.5164787824
386	0.5164497521
387	0.516427757
388	0.5164180338
389	0.5164007984
390	0.5163783398
391	0.5163544853
392	0.5163467467
393	0.5163264054
394	0.5163046546
395	0.5162945468
396	0.5162734414
397	0.5162498357
398	0.5162291789
399	0.5161980673
400	0.5161862513
401	0.5161784721
402	0.5161655322
403	0.5161251131
404	0.5161027856
405	0.5160892659
406	0.5160420045
407	0.5160338135
408	0.5160071834
409	0.5159817076
410	0.5159686598
411	0.5159482238
412	0.5159227777
413	0.5158832079
414	0.5158633818
415	0.5158507687
416	0.5158401651
417	0.5158152371
418	0.5158049155
419	0.5157857643
420	0.5157625788
421	0.5157376009
422	0.515710416
423	0.5156748896
424	0.5156712269
425	0.515646534
426	0.5156241234
427	0.5155859969
428	0.5155719921
429	0.5155393735
430	0.5155165453
431	0.5154861066
432	0.515470658
433	0.5154395471
434	0.5154164486
435	0.5153960133
436	0.5153762708
437	0.5153517726
438	0.5153332496
439	0.5153046955
440	0.5152939823
441	0.5152876668
442	0.515263147
443	0.5152531306
444	0.5152153065
445	0.5151982418
446	0.5151713559
447	0.5151638763
448	0.5151603664
449	0.5151406213
450	0.5151238988
451	0.5150791948
452	0.5150725763
453	0.5150586765
454	0.5150079494
455	0.5149869977
456	0.5149640559
457	0.5149085235
458	0.5148893954
459	0.5148838061
460	0.5148640024
461	0.5148561404
462	0.514837756
463	0.5148223358
464	0.5147925733
465	0.514783993
466	0.5147543088
467	0.5147326856
468	0.5147026261
469	0.5146947715
470	0.5146753347
471	0.5146562444
472	0.5146342929
473	0.514605794
474	0.5145736156
475	0.5145563862
476	0.5145505599
477	0.5145391918
478	0.5145208189
479	0.5144888911
480	0.5144468382
481	0.5144341399
482	0.5144017897
483	0.5144011915
484	0.5143603194
485	0.5143403817
486	0.5143270184
487	0.5143017488
488	0.5142860115
489	0.514269672
490	0.5142614619
491	0.5142500522
492	0.5142346827
493	0.514213746
494	0.5141972208
495	0.5141520629
496	0.514113929
497	0.5140970642
498	0.514075962
499	0.5140495778
